timestamp,uid,name,currentfill,freespace,maxspace
2026-07-03 08:04:50,BADI-1,Enge,110,90,200
2026-07-03 08:04:50,flb6939,Flussbad Oberer Letten,94,906,1000
2026-07-03 08:04:50,flb6940,Flussbad Unterer Letten,35,765,800
2026-07-03 08:04:50,flb8803,Flussbad Unterer Letten (Flussteil),46,754,800
2026-07-03 08:04:50,flb6941,Frauenbad Stadthausquai,68,282,350
2026-07-03 08:04:50,fb006,Freibad Allenmoos,105,7395,7500
2026-07-03 08:04:50,fb008,Freibad Auhof,99,1902,2001
2026-07-03 08:04:50,fb012,Freibad Heuried,312,2288,2600
2026-07-03 08:04:50,LETZI-1,Freibad Letzigraben,124,3676,3800
2026-07-03 08:04:50,SSD-11,Freibad Seebach,143,1857,2000
2026-07-03 08:04:50,fb018,Freibad Zwischen den Hölzern,105,2895,3000
2026-07-03 08:04:50,SSD-1,Hallenbad Altstetten,0,0,0
2026-07-03 08:04:50,SSD-2,Hallenbad Blaesi,26,44,70
2026-07-03 08:04:50,SSD-3,Hallenbad Bungertwies,30,-2,28
2026-07-03 08:04:50,SSD-4,Hallenbad City,61,159,220
2026-07-03 08:04:50,SSD-6,Hallenbad Leimbach,39,41,80
2026-07-03 08:04:50,SSD-7,Hallenbad Oerlikon,89,111,200
2026-07-03 08:04:50,SSD-8,Josel-Areal,0,200,200
2026-07-03 08:04:50,SSD-10,Seebad Utoquai,122,678,800
2026-07-03 08:04:50,seb6946,Strandbad Mythenquai,60,4440,4500
2026-07-03 08:04:50,seb6947,Strandbad Tiefenbrunnen,63,3437,3500
2026-07-03 08:04:50,seb6948,Strandbad Wollishofen,36,664,700
2026-07-03 08:04:50,SSD-5,Waermebad Kaeferberg,17,53,70
