timestamp,uid,name,currentfill,freespace,maxspace
2026-07-03 07:33:14,BADI-1,Enge,90,110,200
2026-07-03 07:33:14,flb6939,Flussbad Oberer Letten,69,931,1000
2026-07-03 07:33:14,flb6940,Flussbad Unterer Letten,17,783,800
2026-07-03 07:33:14,flb8803,Flussbad Unterer Letten (Flussteil),43,757,800
2026-07-03 07:33:14,flb6941,Frauenbad Stadthausquai,58,292,350
2026-07-03 07:33:14,fb006,Freibad Allenmoos,80,7420,7500
2026-07-03 07:33:14,fb008,Freibad Auhof,105,1896,2001
2026-07-03 07:33:14,fb012,Freibad Heuried,188,2412,2600
2026-07-03 07:33:14,LETZI-1,Freibad Letzigraben,113,3687,3800
2026-07-03 07:33:14,SSD-11,Freibad Seebach,115,1885,2000
2026-07-03 07:33:14,fb018,Freibad Zwischen den Hölzern,94,2906,3000
2026-07-03 07:33:14,SSD-1,Hallenbad Altstetten,0,0,0
2026-07-03 07:33:14,SSD-2,Hallenbad Blaesi,25,45,70
2026-07-03 07:33:14,SSD-3,Hallenbad Bungertwies,17,11,28
2026-07-03 07:33:14,SSD-4,Hallenbad City,70,150,220
2026-07-03 07:33:14,SSD-6,Hallenbad Leimbach,41,39,80
2026-07-03 07:33:14,SSD-7,Hallenbad Oerlikon,66,134,200
2026-07-03 07:33:14,SSD-8,Josel-Areal,0,200,200
2026-07-03 07:33:14,SSD-10,Seebad Utoquai,117,683,800
2026-07-03 07:33:14,seb6946,Strandbad Mythenquai,45,4455,4500
2026-07-03 07:33:14,seb6947,Strandbad Tiefenbrunnen,28,3472,3500
2026-07-03 07:33:14,seb6948,Strandbad Wollishofen,32,668,700
2026-07-03 07:33:14,SSD-5,Waermebad Kaeferberg,17,53,70
